geometry_id,geometry_family,geometry_label,method,load_case,load_type,point_load_N,distributed_load_Nmm,max_von_mises_MPa,tip_deflection_mm,safety_factor,material_efficiency_index,stress_uniformity_MPa,mass_g,moment_of_inertia_mm4,area_mm2
SR-0.5,Solid rectangle,b/h=0.5,analytical,P100,point,100.0,0.0,75.17977511937812,3.1249996093750494,3.3253624342853443,0.01662681217142672,22.079399405894694,784.9999999999999,6666.6675,200.0
SR-0.5,Solid rectangle,b/h=0.5,analytical,P500,point,500.0,0.0,375.8988755968906,15.624998046875247,0.6650724868570689,0.0033253624342853443,110.39699702947345,784.9999999999999,6666.6675,200.0
SR-0.5,Solid rectangle,b/h=0.5,analytical,P1000,point,1000.0,0.0,751.7977511937812,31.249996093750493,0.33253624342853444,0.0016626812171426722,220.7939940589469,784.9999999999999,6666.6675,200.0
SR-0.5,Solid rectangle,b/h=0.5,analytical,P5000,point,5000.0,0.0,3758.988755968906,156.24998046875245,0.06650724868570689,0.0003325362434285344,1103.9699702947348,784.9999999999999,6666.6675,200.0
SR-0.5,Solid rectangle,b/h=0.5,analytical,UDL10,udl,0.0,10.0,1892.9141830043216,58.59374267578217,0.13207149180065564,0.0006603574590032782,570.7784540020621,784.9999999999999,6666.6675,200.0
SR-0.5,Solid rectangle,b/h=0.5,analytical,UDL50,udl,0.0,50.0,9464.570915021606,292.9687133789108,0.02641429836013113,0.00013207149180065564,2853.8922700103103,784.9999999999999,6666.6675,200.0
SR-0.5,Solid rectangle,b/h=0.5,analytical,UDL100,udl,0.0,100.0,18929.141830043212,585.9374267578216,0.013207149180065565,6.603574590032782e-05,5707.784540020621,784.9999999999999,6666.6675,200.0
SR-0.5,Solid rectangle,b/h=0.5,analytical,TRI10,tri,0.0,10.0,638.3571869455369,15.624998046875245,0.3916302739477568,0.001958151369738784,182.2504447535314,784.9999999999999,6666.6675,200.0
SR-0.5,Solid rectangle,b/h=0.5,analytical,TRI50,tri,0.0,50.0,3191.7859347276844,78.12499023437623,0.07832605478955136,0.0003916302739477568,911.252223767657,784.9999999999999,6666.6675,200.0
SR-0.5,Solid rectangle,b/h=0.5,analytical,TRI100,tri,0.0,100.0,6383.571869455369,156.24998046875245,0.03916302739477568,0.0001958151369738784,1822.504447535314,784.9999999999999,6666.6675,200.0
SR-0.5,Solid rectangle,b/h=0.5,analytical,C500+50,combined,500.0,50.0,9839.621476228687,308.59371142578607,0.02540748143655416,0.0001270374071827708,2960.787637341457,784.9999999999999,6666.6675,200.0
SR-0.5,Solid rectangle,b/h=0.5,analytical,C1000+50,combined,1000.0,50.0,10214.734402557839,324.2187094726613,0.024474449373583156,0.00012237224686791577,3067.9310246401665,784.9999999999999,6666.6675,200.0
